Hk2,Ddt,Srpk1,Crabp2,Atp5g1,Atp7b,Acot13,Actn1,Kdm6b,Tbx3,Hsf2,Actr2,Mdh1,Id2,Ssr1,Hmgcr,Mapk1ip1l,Dpysl2,Spry2,Oxct1,Zscan26,St13,Twf1,Rrn3,Gsk3b,Sod1,Ndufa5,Mpc1,Pim1,Strn,Impact,Dctn4,Pdcd4,Podxl,Acadl,Igfbp5,Ndufa10,Nmt2,Fubp3,Myef2,Mdk,Sall4,Skil,B4galt1,Mier1,Slc2a1,Gnb1,Actb,Tspan12,Cbx3,Abcc9,Sspn,Cox6a2,Acsl4,Adprhl1,Pkm,Amt,Chsy1,Lrrc58,Prtg,Fxyd1,Alpk3,Zfhx3,Fam60a,Arglu1,Wapl,Smpx,Nppa,Poldip3,Usp22,Alkbh5,X4933415A04Rik,Csnk2a2,Cd24a,Rbm15,Tigd2,Apoo.ps,Cited1,Slc39a1,Map1b,Msi1,Tug1,Hmga2,Ado,Sept11,Ndufs8,Wtap,Myl1,Pcnp,Bnip3,Kdelr2,Trim71,Apoo,Mpc1.ps,Ndufab1.ps,Rps19.ps6,Myl7,pseudotime
GSM2033895,172,18,1025,0,732,216,16,197,104,59,512,301,2920,1974,1430,444,0,6095,46,198,905,1969,381,0,1405,2565,706,0,237,0,671,221,0,4,284,664,644,2991,65,238,975,0,416,1,0,115,86,3979,907,190,0,631,226,667,210,2638,174,346,1626,249,336,1040,19,825,738,262,1081,2469,0,2087,335,31,941,161,326,0,15,0,364,0,0,479,429,788,638,670,381,997,225,0,1333,7,690,0,0,3,24977,6.34357469048792
GSM2033896,2154,25,599,0,2458,0,10,88,71,0,104,1277,5946,35,437,246,106,1652,70,1743,537,1748,361,354,927,1874,818,206,180,250,427,4,172,34,559,516,777,1659,126,108,1411,0,68,63,0,41,1703,2405,361,213,65,0,1695,198,216,2414,341,601,30,786,243,928,393,397,523,119,2108,65,650,1234,128,107,604,136,229,306,6,0,217,2145,4,38,5,546,492,743,55,3752,557,214,681,0,217,60,14,12,27901,6.34358796042198
GSM2033900,2229,19,337,0,2907,170,185,150,90,17,110,1705,18394,0,931,51,39,784,152,915,545,2041,607,527,1420,1486,1150,178,191,355,1730,31,189,50,450,796,1241,339,142,66,676,0,156,566,100,2,627,5242,273,214,296,221,1817,130,103,1785,204,309,86,121,787,6290,463,346,485,231,3316,8734,1060,3084,418,134,465,393,166,691,8,0,369,7523,1,1927,440,1593,304,1071,2,8975,483,241,995,7,461,55,6,13,17324,6.34360123035604
GSM2033901,955,0,757,0,1546,11,334,236,12,0,113,648,7005,0,2749,70,344,1434,71,678,242,1623,703,248,1134,1838,806,148,171,861,100,93,136,21,467,334,771,1151,34,572,1089,0,206,264,593,16,552,5374,384,195,3,410,735,107,339,2329,9,490,465,150,22,592,753,845,676,570,3512,2170,531,663,359,53,508,421,179,7,7,374,185,1016,0,942,228,1185,308,467,157,1037,360,668,611,72,335,12,14,16,20614,7.86728298812699
GSM2033905,4879,156,812,0,2701,175,603,473,82,0,138,1499,9518,63,2889,550,781,3549,115,1399,219,4655,2122,453,1329,1999,920,163,157,1188,520,149,77,53,270,2,1040,1766,191,339,559,0,274,369,470,1209,1445,2868,112,256,359,0,532,229,512,1861,33,29,2027,133,452,1768,265,1514,827,699,2332,7125,1606,2749,700,384,1512,337,181,37,22,576,317,7840,15,1739,673,678,521,550,210,1733,363,456,1111,273,621,35,11,23,17803,8.58902041890449
GSM2033906,1424,25,322,0,2062,0,230,146,25,85,53,729,12067,607,3428,946,156,2040,323,1183,428,556,603,390,1084,1627,1240,46,227,2,1003,19,766,0,819,2517,732,936,142,481,920,0,92,501,97,0,2084,15389,412,146,0,124,33,1,0,997,136,516,547,1,928,317,33,411,774,405,1294,0,0,909,166,82,462,690,83,136,6,1141,310,1118,0,931,1652,0,1250,1115,70,27,281,0,940,0,158,4,4,11,55043,3.71996333238584
GSM2033907,690,135,885,0,3807,408,285,73,29,0,36,692,9405,127,521,35,364,3285,124,557,272,3425,315,209,970,2147,818,186,76,702,964,18,139,240,1018,165,620,788,176,342,613,0,370,196,419,213,1553,3265,9,343,83,63,1023,46,91,2381,39,695,393,160,491,444,0,893,441,207,2334,1018,1253,3553,273,110,834,303,175,0,4,883,588,1997,5,987,455,32,55,866,401,703,1145,370,886,336,311,49,4,19,26697,7.74492057074451
GSM2033909,1269,252,0,0,2072,71,712,101,9,0,26,1173,15232,813,1298,602,216,1183,149,1446,392,1683,12,367,1406,1153,880,260,61,562,1233,1,20,0,509,376,819,367,161,61,337,0,50,541,272,628,945,3972,985,216,30,298,2224,31,196,2344,52,136,15,495,1348,1288,251,368,589,169,5146,14270,183,1414,229,15,308,93,159,0,7,1,268,2105,0,1138,59,18,2131,1530,64,17098,415,1539,1146,49,368,93,11,17,49604,6.342301256936
GSM2033910,0,13,109,0,1365,216,1,93,51,0,65,1401,1638,3264,596,83,5,1234,132,178,175,2411,977,530,1779,834,131,79,165,1287,590,44,412,0,286,9269,683,1949,194,263,481,0,471,584,68,512,224,8672,0,147,0,0,1284,98,0,1223,112,142,564,0,104,0,17,903,1050,456,1,0,762,1672,84,0,216,0,99,216,8,0,141,2453,40,376,27,17,3445,286,212,1,698,58,510,0,285,16,3,15,18398,4.99587833867303
GSM2033914,1346,0,133,0,1916,0,435,193,9,0,32,665,5537,0,79,0,166,2039,23,841,516,2902,0,250,1866,974,731,138,199,904,206,0,51,0,123,3,653,641,101,252,657,0,0,42,30,70,436,3657,39,112,1,49,864,0,0,2710,0,0,583,0,516,350,7,0,174,274,2464,2588,908,2,143,108,902,54,57,15,7,0,118,367,0,1471,166,71,2,1212,151,4763,613,176,164,0,193,49,2,12,21391,7.79484259486059
GSM2033916,27,5,58,24,2202,149,56,0,3,0,252,1092,14408,1971,45,509,1,1255,100,98,114,1302,588,276,1381,1094,994,473,0,1276,825,0,104,0,1,7314,1326,1161,54,164,440,0,176,84,2,30,593,2601,0,337,5,36,1702,0,95,4698,210,402,1284,0,1340,1723,264,63,346,183,809,0,1340,1480,305,34,312,4,49,1,22,0,150,4003,0,256,974,1631,2254,2144,152,3358,1139,3,321,1,863,152,4,27,35133,5.11978414100584
GSM2033918,752,2,347,0,2226,201,267,120,26,76,323,783,11726,757,1149,157,44,1241,133,572,559,1211,136,111,938,1032,866,89,26,85,863,9,21,0,311,8079,1333,2954,211,246,801,0,187,566,446,98,1364,6610,35,123,436,0,1949,39,306,556,179,402,791,11,862,2912,2,1007,483,233,674,224,1225,2207,269,209,374,0,145,11,23,151,184,2293,0,930,90,194,971,595,73,3972,587,767,610,2,785,19,4,10,30781,4.95317194252749
GSM2033920,5,0,1105,0,1369,51,272,4,171,243,84,415,9229,717,717,197,26,7350,140,641,437,1951,5,399,1696,1219,510,19,71,575,514,69,255,0,238,6473,443,1473,55,51,169,0,139,289,19,1258,552,4308,490,132,0,326,1524,94,222,1079,121,543,707,375,729,3072,20,547,473,251,354,98,775,884,393,300,1033,1329,99,1,1,0,491,4703,0,3291,621,2526,10,702,40,576,343,669,377,1,58,2,1,15,38108,6.3436145002901
GSM2033922,20,70,202,0,1374,182,0,373,9,16,0,773,3032,2189,2408,43,246,3435,25,0,859,2667,664,344,2750,2303,525,21,24,454,1054,106,95,354,0,10556,138,4780,150,554,1751,0,1440,311,266,585,1249,15654,156,229,0,0,414,0,0,2655,171,1376,237,1009,2,0,5,0,451,318,14,0,157,2,171,191,1428,0,428,0,7,0,69,3435,0,3442,219,147,3023,216,1,142,650,0,960,0,436,4,3,36,44370,4.26298494411169
GSM2033928,35,99,1795,0,1386,6,130,350,11,26,46,327,10012,576,846,111,22,1415,140,187,174,2676,223,253,1353,656,333,241,15,1,473,226,596,33,840,1272,541,197,108,235,603,0,275,634,334,0,553,13952,9,137,373,2,681,100,36,1223,14,474,1071,123,292,1414,111,1093,339,260,1893,567,514,5014,460,70,361,679,56,8,10,0,370,6862,0,1776,17,752,1408,1245,126,5644,803,2242,348,6,450,68,2,12,25999,3.73065702933318
GSM2033929,1390,18,796,0,2369,390,108,619,30,0,46,748,9169,75,999,431,20,3458,29,2190,0,1493,104,265,665,2905,1178,110,121,1340,1082,114,58,0,450,307,249,0,9,86,117,0,267,163,44,2489,2530,6851,21,71,433,65,1312,167,0,2266,0,146,620,8,578,1168,0,533,686,245,5555,2992,616,2985,80,413,634,200,8,448,4,287,342,1424,4,1419,111,899,1,1271,49,5680,437,772,1067,0,66,29,3,23,31395,6.34362777022416
GSM2033932,1966,68,591,0,2274,13,395,60,39,0,31,919,6845,0,1370,1,53,2094,7,921,214,1953,862,335,594,1050,603,212,35,2,286,80,68,0,955,219,1002,503,833,70,502,0,5,45,212,194,857,4271,0,291,0,9,1076,85,104,2632,22,129,29,15,643,677,96,580,402,333,4062,1692,1234,1486,113,69,572,449,152,1,3,913,198,1790,1,1269,268,307,770,1478,19,2948,408,305,609,0,240,60,13,9,26140,6.33703722122936
GSM2033933,1455,0,1204,0,1295,0,54,0,14,0,192,1158,3242,0,1533,62,0,2676,17,229,169,1095,62,799,1701,447,658,321,1,467,760,0,54,0,898,3540,167,1045,31,162,312,0,131,2095,522,71,1423,9476,0,298,0,13,40,38,0,4728,0,65,818,0,804,1,0,341,490,218,610,1,1801,1969,219,28,580,0,32,0,14,1064,59,28,0,1268,8,2,2381,578,79,351,691,934,867,0,569,74,7,13,39233,4.9726961250375
GSM2033934,3821,53,863,15,2128,40,72,317,52,0,114,715,6008,55,2606,132,543,2012,74,1143,459,2376,374,343,946,754,428,91,342,582,1122,8,83,122,561,63,325,2150,173,286,226,0,328,240,79,895,513,3493,44,143,282,112,893,61,137,2547,70,237,160,238,156,1401,17,735,445,248,2311,3718,486,1508,241,249,618,288,165,194,12,139,319,2039,0,367,937,758,581,942,95,2446,347,272,655,32,387,21,3,8,20162,8.58903368883855
GSM2033937,1399,38,153,0,1949,126,411,162,158,0,268,1397,8956,26,797,369,248,3008,58,167,435,815,142,397,2642,1220,656,107,57,1871,1543,105,69,67,414,346,724,1391,121,168,715,0,549,509,1,113,1776,6189,854,154,1121,278,639,239,1,4072,46,421,325,422,384,2009,16,1679,865,213,1779,1339,680,1343,236,225,366,477,132,159,6,209,295,4132,11,1629,960,112,13,582,194,2422,527,1055,770,30,174,13,8,37,19145,6.33668804240771
GSM2033944,1822,0,227,0,2124,14,152,141,39,4,1,290,6346,0,837,26,207,1488,30,445,6,3160,848,225,875,2306,847,482,59,365,1537,44,0,1,764,101,58,1436,32,232,97,0,0,216,53,291,1174,4844,1,300,0,136,1215,4,690,1264,258,374,33,0,829,866,10,182,429,65,1476,3130,1108,3366,99,44,552,1009,111,0,8,100,336,2606,0,1889,601,777,8,503,185,1738,323,75,1248,212,277,103,9,18,34641,6.33841839278025
GSM2033948,2,0,10,0,1364,942,294,188,22,0,22,1368,6541,404,1723,1814,81,3552,127,21,329,4204,0,85,1094,941,803,94,44,805,751,751,239,18,45,4512,621,1141,158,549,6,0,150,513,298,114,1999,3937,0,95,0,593,1453,0,536,2155,67,167,838,0,632,1263,78,0,998,26,2202,0,483,3102,88,161,168,0,102,0,22,573,359,4790,0,1225,11,1242,461,1301,17,1477,220,423,365,0,690,35,2,7,31417,4.87006822110824
GSM2033949,0,0,1,0,1723,246,0,0,28,0,72,528,7663,41,442,0,0,388,63,779,71,764,309,119,446,1514,702,118,28,345,593,18,6,0,0,1072,158,1359,83,38,401,0,102,132,1,45,424,3862,1,40,13,444,759,0,6,781,0,136,598,0,230,519,8,722,86,45,1543,352,12,1523,52,137,268,0,50,0,9,0,70,1986,0,1658,1,164,5,833,4,4342,169,578,343,0,666,27,1,37,30016,5.86793351148337
GSM2033953,679,28,1784,0,2175,97,376,132,91,0,215,1874,8367,2,963,119,191,2811,75,1186,234,2330,421,732,1119,1876,857,149,160,1197,1414,141,147,61,140,532,1259,2418,112,120,815,0,192,508,583,529,1834,6615,517,220,81,194,1351,26,8,1380,98,483,214,68,239,1165,11,1600,626,216,2969,365,863,2574,121,168,391,182,251,1,26,184,194,2948,1,507,116,1178,1216,1426,254,2311,464,673,980,22,1179,42,10,34,34794,6.34364104015822
GSM2033955,909,10,510,0,1942,85,147,341,3,0,72,1185,6932,293,3067,929,81,2501,114,1210,295,1153,1014,506,950,2409,285,157,177,803,709,92,25,44,201,24,1030,1086,83,341,301,7,127,717,13,110,2328,5439,1345,247,33,105,503,180,668,2552,51,632,391,172,96,2480,22,207,469,384,1935,7573,726,2992,72,561,484,2,72,0,25,710,272,2240,0,244,606,0,215,286,123,150,891,568,1426,322,1015,59,3,17,19848,7.69697018177923
GSM2033957,415,162,383,0,2293,3,349,69,48,0,62,1040,9726,0,729,168,174,1206,30,598,741,1892,217,373,602,1479,613,301,160,213,1108,376,224,268,35,16,357,729,92,201,808,0,498,162,412,105,758,8691,29,292,17,226,1446,808,0,2395,8,129,1208,37,565,2083,0,173,548,87,2868,3909,1452,1232,204,9,824,44,127,20,4,617,62,1102,0,1305,305,402,121,2012,297,4200,192,190,532,167,325,87,13,18,29867,6.33096763972399
GSM2033961,136,11,89,0,1480,28,111,223,249,0,238,275,7088,16,1106,127,149,474,12,847,204,1853,9,55,847,929,599,92,64,153,553,8,77,0,3,55,488,612,0,28,340,0,78,34,1,13,166,2740,36,115,8,33,481,26,97,376,18,409,25,2,66,627,15,468,459,209,925,1719,235,1358,62,62,452,89,98,2,9,17,289,2434,8,118,36,438,999,830,17,1960,555,475,559,30,481,28,4,21,24280,6.33430518725709
GSM2034094,584,143,197,8,741,310,1,18,37,0,13,350,1798,378,349,224,0,693,69,76,84,268,489,169,380,1191,264,185,103,152,539,5,44,0,92,849,413,1317,27,137,521,0,5,441,3,0,543,3216,144,26,0,0,578,2,0,1104,248,5,25,124,116,734,1,293,253,48,564,366,577,9,230,205,335,0,55,78,5,0,82,1803,2,585,186,708,2,753,0,224,305,355,287,38,450,5,9,39,15377,5.3299747464849
GSM2034096,1577,211,967,256,1387,449,130,264,99,0,142,883,3841,1708,2461,400,267,4970,114,384,404,1267,957,569,1541,3346,325,51,176,202,777,28,117,280,642,1866,446,1417,78,234,2109,152,339,415,677,388,1478,6719,678,65,11,1,496,98,7,5222,84,635,505,543,143,2237,197,1599,569,259,771,1118,1555,2745,418,726,468,773,233,253,0,0,351,6801,15,665,500,786,2301,555,178,779,597,1131,1361,107,311,8,1,45,41561,1.02762901099097
GSM2034097,1861,548,1619,39,1316,170,139,235,97,56,103,820,2043,1623,1163,314,353,7435,180,151,635,1254,825,414,1353,2806,521,99,145,625,341,41,135,55,276,3254,472,844,223,360,1470,315,418,274,666,799,1425,3289,157,142,0,28,766,484,237,5289,222,1078,920,710,23,3048,133,1350,579,164,571,282,685,2122,157,474,297,586,113,0,5,5,390,5855,16,1526,566,425,1860,482,85,536,415,2210,1128,646,290,35,6,84,40464,0.00675095948878468
GSM2034098,584,2,520,95,963,131,2,216,49,280,85,681,3625,1165,1035,463,37,1455,55,473,408,605,385,454,589,1028,352,5,100,94,220,120,17,5,100,1616,361,1425,53,226,523,100,213,671,121,12,695,2470,840,122,0,0,15,31,0,1313,51,342,324,0,106,412,172,363,324,147,1,0,352,1376,331,508,150,771,480,0,1,47,112,2022,3,451,89,215,1034,89,145,126,249,5,786,194,52,1,2,28,20276,3.49554671190905
GSM2034099,3404,343,1199,376,1486,135,105,174,92,0,159,584,4873,497,2556,99,280,2061,13,655,231,1685,308,654,1003,3642,292,158,200,609,1404,274,126,92,75,442,566,2251,142,65,1529,0,20,798,632,309,768,6943,284,33,14,0,816,91,80,5051,32,479,468,564,298,1145,4,1035,638,150,1032,904,1560,3241,410,353,154,157,223,8,6,74,342,4837,24,709,513,500,549,282,60,2938,826,543,1036,464,365,21,9,49,29770,1.7624640508037
GSM2034100,294,7,812,0,1006,118,67,311,51,17,52,737,2784,1038,2656,2,202,7947,95,861,1262,1629,772,530,1036,4227,422,34,35,1460,449,123,67,0,423,656,210,1680,129,189,915,19,305,189,520,413,1750,3587,369,65,0,41,556,98,36,3818,139,598,324,301,138,3716,127,1339,642,385,1176,486,817,1077,297,136,321,1000,504,0,2,18,203,3635,0,1051,1405,510,1283,445,93,649,284,379,1293,514,291,11,15,24,41895,1.02761574105691
GSM2034101,2357,256,817,71,2382,289,192,338,25,0,226,911,8433,0,1536,219,272,2958,52,820,749,1196,1149,382,889,3452,711,89,148,562,1334,42,141,204,78,395,2308,1398,171,48,672,122,93,524,468,1764,1105,3298,1162,42,143,368,1147,56,0,5003,115,293,21,299,735,2584,75,907,318,213,1773,5485,1373,1244,261,306,462,52,262,12,16,105,540,4771,0,923,50,2059,1581,1177,88,3797,539,142,934,72,725,23,27,29,51575,8.58904695877261
GSM2034102,579,120,1457,176,1400,355,10,235,42,0,112,986,3632,449,2214,736,477,4505,58,653,256,1068,508,306,1800,2295,327,95,387,341,1066,149,158,0,295,1823,677,2444,87,194,726,180,30,475,518,946,1260,8555,805,40,4,0,419,744,6,3080,199,342,561,221,118,1529,235,542,625,132,687,2742,343,2154,149,208,152,304,190,106,1,0,162,5377,0,1179,888,546,1365,648,92,368,289,58,1181,59,281,24,1,87,22083,2.6194976551664
GSM2034103,1878,333,561,10,1001,165,520,263,27,0,65,1072,3614,247,1179,95,127,4085,131,493,756,1433,719,410,1066,1425,417,168,198,939,1174,230,138,1,224,3478,596,2789,35,111,572,53,83,693,187,1244,759,7248,1285,63,149,107,808,61,143,2616,76,205,778,233,703,3262,430,418,674,102,1105,11004,666,1213,145,246,170,161,181,522,5,8,376,4630,0,1306,413,797,860,411,108,2355,252,252,1000,454,194,46,7,37,37189,3.50950014792599
GSM2034105,862,18,1372,228,921,243,31,133,234,292,146,1435,3856,2713,2980,157,512,6174,176,1072,913,1619,954,961,2218,5011,194,137,523,947,379,531,177,0,397,6744,1026,3146,232,455,1606,0,421,692,975,56,1828,17830,1308,72,0,9,396,506,2,7465,119,759,1176,123,546,2070,257,1670,1012,757,2,2,2900,5066,889,557,436,1166,602,35,4,2,312,8819,69,816,2433,4013,2377,369,199,101,330,644,2265,346,301,23,6,69,22155,0.753127662666152
GSM2034107,888,78,1974,79,1781,248,164,251,212,0,262,1113,4503,720,3900,162,320,5563,117,945,548,1708,505,755,1935,2730,513,204,105,753,1339,263,153,12,174,2722,923,1820,110,238,1000,343,94,382,149,470,1971,8156,959,93,44,1,464,193,91,6474,52,256,577,422,252,1347,112,1458,925,412,1772,2464,2189,3605,247,340,184,710,250,78,6,139,227,5142,4,1413,275,1427,1043,638,88,754,631,545,1671,201,346,42,9,62,25555,1.94074101641647
GSM2034108,3034,127,1299,247,991,657,6,68,57,0,162,1221,3061,745,2086,1346,107,7169,112,711,93,2231,1083,1040,1749,3205,369,214,492,1324,417,0,158,0,49,3203,1547,1511,20,266,330,0,137,0,278,602,1897,7285,0,61,0,422,846,227,0,2559,123,277,1285,148,118,2635,1,1395,537,4,344,79,2193,3596,189,590,496,799,337,134,5,296,385,4404,1,764,181,238,3026,630,226,1462,586,386,850,56,313,58,3,53,49112,2.51543959992506
GSM2034109,3762,160,1443,461,1236,370,163,214,31,35,100,1371,1969,896,3810,423,268,7748,61,533,320,1599,1144,549,829,2156,439,53,349,943,834,409,118,39,42,1491,500,1933,166,292,974,172,223,484,353,495,1425,5010,1120,113,0,263,599,482,61,4024,122,473,543,974,166,1796,94,2002,712,146,1028,481,1277,2981,130,255,569,570,367,31,2,28,201,4834,10,2266,343,1394,1326,435,90,525,569,1186,909,867,146,18,10,75,40346,1.02760247112285
GSM2034110,2218,253,1034,1,2563,113,137,193,101,255,242,1278,7548,2478,3723,475,158,8330,171,746,1008,2538,915,429,1339,2996,574,126,421,788,898,160,351,469,341,3654,1093,1936,132,327,882,97,441,176,573,227,2510,6586,382,194,1,505,907,158,304,4202,352,724,564,344,206,1587,473,1334,565,222,1011,87,2386,4095,133,170,441,927,175,9,8,156,222,6160,5,2650,1116,1077,1122,1119,421,2376,832,524,1427,387,609,41,14,60,43954,2.22189674645607
GSM2034111,5753,113,1982,175,1678,479,490,141,106,74,567,1239,2520,1766,2152,913,231,9041,91,1273,1258,2143,700,974,1299,1987,437,0,242,1207,1344,110,260,190,182,2324,505,1782,1,576,460,469,354,573,626,807,2188,8502,3205,200,0,0,729,51,87,10954,194,973,1588,227,329,1674,408,3434,1287,235,1631,768,2486,4861,623,427,374,885,486,217,4,158,317,3479,20,1377,819,483,4117,1107,179,956,1010,2526,1719,1730,682,0,6,151,52114,1.02758920118879
GSM2034112,3690,10,1768,107,1556,136,177,369,71,43,42,1524,6149,386,3217,569,270,3318,162,623,855,1938,788,520,1210,2420,536,216,197,684,623,239,133,0,349,2511,463,1393,93,352,764,223,184,377,742,211,1924,6878,532,69,96,331,711,292,119,3134,68,477,472,330,220,3354,545,1513,744,419,1515,1245,1037,2243,323,551,509,255,160,108,8,57,422,3162,2,1720,649,1770,1363,976,48,3146,605,451,1192,374,363,54,5,48,31239,4.15613728503054
GSM2034114,1754,146,622,97,776,208,107,114,267,138,222,370,3030,271,1980,141,188,3331,50,102,1089,724,485,467,1394,1183,284,57,149,236,637,214,125,0,260,3405,335,2544,123,268,418,12,338,344,436,169,1995,5434,76,68,0,0,99,337,95,1941,106,590,728,137,252,727,482,804,631,65,52,0,2258,3284,229,275,103,308,315,9,0,0,176,4743,11,600,193,673,797,253,102,805,460,199,558,49,92,16,3,39,19061,4.0368444445885
GSM2034115,1324,353,799,113,1583,573,335,408,81,9,88,799,3937,540,2449,312,279,4873,91,499,268,2764,810,881,2236,2081,495,94,181,320,1093,104,229,57,236,5129,780,1267,189,314,587,43,197,567,440,1076,1912,11375,232,128,27,5,401,351,35,2199,245,168,581,180,380,898,307,799,751,475,656,436,1153,3418,332,398,403,326,290,20,3,0,431,6920,13,1268,356,765,1802,597,182,3686,470,642,1258,174,139,24,7,55,32754,4.07121995016122
GSM2034116,424,62,1436,442,1381,199,219,110,87,16,213,660,3259,1016,1891,375,196,3807,178,450,483,1884,437,530,1054,1887,463,37,73,352,585,108,180,21,149,3806,975,2602,175,354,737,115,136,404,485,123,1075,15383,509,83,27,0,670,75,28,3705,174,226,569,88,171,1409,192,1325,508,127,703,1117,1501,2610,277,227,115,709,146,38,1,0,276,9905,20,1526,272,789,633,634,89,1405,705,231,906,149,119,11,8,72,25831,2.66936374404693
GSM2034117,2721,151,1349,117,1157,209,166,355,89,19,146,992,3559,366,3184,783,203,4122,143,604,567,2346,1520,1292,911,2806,463,127,140,202,1202,57,99,80,213,84,529,1026,191,209,693,236,168,327,288,292,2181,3638,481,67,34,6,603,201,14,4626,140,519,751,1750,56,1126,60,2712,510,273,1909,394,1516,2919,318,266,512,391,270,6,4,42,180,4986,6,1138,522,955,1625,402,109,771,614,489,938,507,162,26,5,88,26271,2.46048346578558
GSM2034118,1475,153,1442,186,1536,132,505,231,73,255,123,2136,5991,1864,1731,582,129,4496,139,636,364,1860,1050,476,1357,3261,445,240,259,765,770,327,214,148,77,5943,818,2101,116,201,375,85,312,257,873,399,1277,5447,301,123,0,28,346,98,14,2184,232,505,311,186,420,875,233,1534,545,158,149,1,1882,3764,475,601,333,336,234,7,3,0,282,5929,18,1208,48,908,1251,804,71,1082,399,526,670,493,333,50,5,77,39333,4.29762777301667
GSM2034119,598,486,1228,74,1013,278,205,67,27,0,113,1302,5300,1780,2043,558,55,1297,102,85,758,1238,704,85,2074,2598,382,35,241,780,1575,127,86,0,321,4088,818,254,0,195,894,1,34,574,369,732,1445,6700,9,43,0,0,656,270,0,3300,231,2,1000,2,324,2088,2,265,1057,213,1534,2,818,1969,126,375,336,205,178,0,12,0,432,942,0,791,4,277,503,223,88,1399,708,183,834,354,485,7,7,34,42567,4.66043360385726
GSM2034121,1732,40,1592,96,1230,219,214,90,29,0,42,1250,2899,831,2297,555,398,4244,33,326,364,1130,1487,616,1064,1328,370,141,137,497,284,198,1,72,235,14,636,1315,102,178,605,0,144,240,283,835,1370,2695,894,130,247,1,365,44,286,4895,0,474,238,249,140,1273,190,1208,650,128,2277,1305,2476,3086,256,276,330,454,443,97,15,156,179,3210,1,1511,549,511,2415,622,150,1730,280,303,818,282,1015,49,4,55,26405,2.60564483382208
GSM2034123,2896,316,3662,0,2335,105,584,131,18,0,98,737,6190,394,1031,271,191,4654,23,1136,232,903,873,657,983,2336,776,108,206,589,924,24,9,0,73,216,1569,788,122,165,770,0,209,304,181,1151,2111,3470,1192,92,132,327,1309,95,574,4654,114,240,446,997,382,1940,41,974,311,655,2252,4124,11,2245,205,339,484,468,189,0,9,25,259,3401,0,600,1134,3132,1615,1069,120,2109,346,820,900,172,469,22,3,113,32100,1.76247732073776
GSM2034124,2677,154,790,291,1491,376,267,168,47,18,63,1008,4693,807,1457,407,257,2954,108,534,413,1278,890,256,1246,2618,442,154,74,525,812,199,79,0,256,1717,920,1536,26,101,298,313,133,621,573,305,1088,5659,1016,89,43,340,1029,78,415,4057,125,165,932,423,757,2265,139,1303,679,585,2311,2575,771,3293,154,325,281,523,153,0,2,115,228,2991,14,1104,145,1598,829,705,94,4035,529,1032,869,373,480,43,5,81,45854,2.5453621905052
GSM2034125,230,0,147,0,199,1,4,339,8,0,91,720,152,9,735,92,7,662,38,157,3,398,465,293,89,1165,62,2,131,20,126,337,102,3,5,6,114,2303,3,4,62,0,170,208,141,377,621,1970,0,28,24,8,23,164,0,1591,1,8,127,13,0,331,228,3,254,177,63,101,97,500,8,46,134,30,84,0,0,147,28,1053,27,25,180,9,22,81,345,166,9,84,53,150,16,2,0,9,6567,6.42685996652445
GSM2034127,2579,56,1036,206,1279,103,213,175,81,4,104,903,3337,1021,4078,987,167,4400,172,373,1010,1912,277,979,1367,2843,468,258,374,253,470,536,191,23,99,2233,546,1212,294,168,756,121,154,355,538,856,1566,13316,384,82,95,32,528,149,3,5653,129,457,469,275,144,1140,205,1085,532,271,1381,3213,2677,3238,297,424,464,584,268,13,1,251,285,6017,2,1643,578,499,1875,1185,66,942,421,789,1665,551,174,59,4,31,22847,2.42433668970794
GSM2034128,2566,161,2849,249,2559,389,254,138,20,0,28,436,5361,533,1771,377,172,4521,53,926,241,1208,215,281,990,3322,612,237,62,183,338,16,22,0,154,57,588,965,17,28,613,0,15,127,574,22,1094,7956,1111,68,0,21,1008,91,1280,7430,160,269,273,163,148,509,8,1392,514,78,2658,832,2191,985,63,317,241,395,218,0,3,67,201,2719,0,1359,151,691,460,729,20,1889,246,711,768,28,238,85,9,64,42377,1.76249059067182
GSM2034129,1367,135,1705,23,2248,154,254,596,30,0,136,1276,8163,1061,2016,638,272,3940,149,764,757,1909,766,834,1387,2582,541,231,180,679,783,378,58,256,890,2860,1138,2475,149,468,1083,190,69,384,431,98,2372,16146,279,126,0,37,973,227,0,2940,198,456,888,164,446,877,307,1749,671,365,2062,4314,1241,1637,189,366,567,15,215,11,14,88,226,4893,7,975,606,1117,2285,1062,244,6996,704,231,1155,303,568,58,7,86,33661,2.26666745126651
GSM2034130,2799,193,922,785,1131,209,242,188,66,0,255,1590,3260,544,2039,415,256,7263,17,525,627,2969,1317,821,1234,2689,688,97,336,542,301,517,173,0,323,512,841,2635,163,121,1184,205,167,86,235,0,1314,4341,1439,59,108,6,356,139,1,7704,670,225,954,134,154,2009,176,1333,560,370,1644,293,2100,2916,427,144,264,506,288,0,3,245,530,3577,14,2294,232,1555,198,1097,236,3318,546,236,927,684,287,31,9,80,20559,2.35170605960042
