Hk2,Ddt,Srpk1,Crabp2,Atp5g1,Atp7b,Acot13,Actn1,Kdm6b,Tbx3,Hsf2,Actr2,Mdh1,Id2,Ssr1,Hmgcr,Mapk1ip1l,Dpysl2,Spry2,Oxct1,Zscan26,St13,Twf1,Rrn3,Gsk3b,Sod1,Ndufa5,Mpc1,Pim1,Strn,Impact,Dctn4,Pdcd4,Podxl,Acadl,Igfbp5,Ndufa10,Nmt2,Fubp3,Myef2,Mdk,Sall4,Skil,B4galt1,Mier1,Slc2a1,Gnb1,Actb,Tspan12,Cbx3,Abcc9,Sspn,Cox6a2,Acsl4,Adprhl1,Pkm,Amt,Chsy1,Lrrc58,Prtg,Fxyd1,Alpk3,Zfhx3,Fam60a,Arglu1,Wapl,Smpx,Nppa,Poldip3,Usp22,Alkbh5,X4933415A04Rik,Csnk2a2,Cd24a,Rbm15,Tigd2,Apoo.ps,Cited1,Slc39a1,Map1b,Msi1,Tug1,Hmga2,Ado,Sept11,Ndufs8,Wtap,Myl1,Pcnp,Bnip3,Kdelr2,Trim71,Apoo,Mpc1.ps,Ndufab1.ps,Rps19.ps6,Myl7,pseudotime
GSM2033446,2254,35,901,0,1687,108,44,245,118,0,93,723,3667,0,2000,496,434,7161,250,365,261,1768,787,473,2199,1943,569,177,84,311,404,124,83,176,602,97,801,932,397,478,598,128,89,89,294,2808,2093,3325,177,368,106,0,356,363,0,3753,84,364,517,316,141,1160,157,1370,592,341,1015,2278,1121,872,290,87,371,96,204,402,4,39,219,4899,1,2085,275,1244,867,377,223,1266,773,1147,1457,12,243,80,20,25,23651,8.58892752936607
GSM2033447,7,310,358,0,1283,37,160,169,166,0,177,1136,2952,636,3500,21,129,2459,110,144,879,738,1069,770,974,2699,465,60,294,2,1349,301,41,31,347,1711,587,1668,156,13,792,566,55,238,5,1168,985,5966,720,100,0,0,243,551,0,1344,268,773,673,704,62,779,5,937,934,154,13,2,1548,1414,580,556,157,129,210,416,1,0,223,2865,34,746,14,2096,1244,153,137,562,1115,385,1009,19,79,17,4,28,35532,4.41337451752832
GSM2033449,2643,152,2157,100,1453,188,113,617,222,0,148,1411,4012,91,2605,801,940,8762,439,564,1113,3182,1385,1434,1975,2535,647,129,331,239,557,139,95,89,580,46,892,2172,326,364,773,12,309,161,488,1677,2653,9182,576,82,473,80,373,271,29,5182,52,158,591,674,129,1537,151,2271,893,637,2092,2052,569,2638,971,485,552,426,363,375,2,15,477,4005,0,1899,104,2398,1695,582,312,841,840,1564,1830,80,237,28,17,59,34292,2.37861818473393
GSM2033450,939,71,1150,0,523,217,315,540,148,663,383,1582,2214,1900,2269,121,438,3416,229,450,704,2387,945,475,1519,1809,472,59,137,818,751,297,477,84,291,3332,416,1699,163,554,860,385,540,984,427,619,2399,13990,121,87,12,0,573,265,0,1645,143,822,951,364,178,876,295,508,968,790,24,0,1325,2673,517,256,153,647,447,33,10,0,374,2328,14,1049,404,978,1045,183,194,1197,664,819,709,27,350,12,5,18,22750,0.00649883074165247
GSM2033451,1114,247,1172,47,680,144,249,275,90,125,155,1441,1754,720,5079,200,268,6752,72,76,494,2412,1811,1111,1279,2125,417,27,537,588,2805,318,254,164,143,598,497,324,324,296,387,1313,528,478,346,562,2539,7762,1033,203,0,0,345,119,377,2521,306,724,1431,796,79,1199,480,714,1507,212,660,91,889,552,603,131,454,564,310,0,7,0,359,1897,20,764,2906,2203,2013,193,159,227,1174,1337,1372,861,429,4,7,40,25270,0.00651210067571206
GSM2033452,1754,10,1070,164,1081,218,187,337,142,216,299,1902,3401,1385,3580,876,350,8893,217,894,776,3418,1156,824,2777,2332,553,111,244,1600,1702,151,521,209,152,4609,804,3882,498,1416,873,32,849,473,812,716,3104,17228,15,352,13,14,404,228,73,2041,135,862,1772,393,109,612,862,1819,1118,847,267,225,791,4366,602,502,291,975,449,160,5,10,447,8339,82,2672,449,1281,1531,347,221,876,1235,977,1393,85,112,21,13,57,21165,0.179500779625274
GSM2033455,1898,94,1044,116,1774,323,234,179,78,314,146,1712,2254,2304,3055,412,279,10960,187,558,607,3058,590,788,2078,3510,377,59,392,1130,1956,343,193,360,291,2004,514,3390,259,338,804,444,509,759,508,1982,2085,6642,384,212,32,24,773,127,67,3948,130,822,1154,970,254,1873,178,2058,503,475,511,52,1768,4283,223,414,526,819,372,4,3,39,507,5202,13,2013,717,1625,1656,290,166,1427,837,1162,949,197,140,13,11,69,35381,0.00652537060977165
GSM2033456,1868,66,2378,147,1245,154,131,115,95,297,256,1424,5368,1072,3083,406,162,6447,136,259,819,1263,781,585,1410,3612,565,113,620,624,2138,162,191,215,219,1112,242,1699,74,194,399,191,385,490,816,1133,2124,6973,271,39,0,27,873,51,57,2262,378,503,399,307,235,3246,201,329,1349,206,309,1429,2308,1778,418,318,621,428,321,224,3,0,300,2676,17,679,471,1088,3033,459,81,2384,495,1604,1776,270,198,32,7,64,36625,0
GSM2033457,222,206,229,0,1795,62,65,22,9,0,16,354,2144,1,484,75,22,539,18,7,27,305,52,248,241,1786,160,65,52,46,163,266,6,67,70,11,340,105,5,12,527,28,13,424,62,823,306,1700,82,30,43,0,1225,0,20,2059,11,19,86,71,68,923,51,128,265,9,304,4056,313,594,134,66,304,81,19,75,0,15,116,386,0,26,1,274,360,547,1,1707,125,174,697,79,26,15,4,62,26341,8.58894079930013
GSM2033461,3574,66,3412,142,1840,182,340,337,237,136,330,1693,2973,22,2756,280,240,4576,168,157,502,4253,1350,1071,3061,2587,572,45,211,430,3578,153,241,11,663,755,772,3072,522,800,278,223,158,434,462,1622,2288,9229,177,339,227,150,421,28,0,2827,38,834,1358,652,83,1346,465,1591,1059,869,2119,2294,1187,2622,142,340,626,490,471,65,6,87,139,5281,1,1154,1,1733,2230,585,172,2038,1536,191,1398,581,221,13,12,66,29831,8.58895406923419
